DATE;YEAR;MONTH;DAY;TMIN;TMAX;WIND;TMEAN
01/10/2011;2011,00;10,00;1,00;11,00;25,00;1.7;18,00
02/10/2011;2011,00;10,00;2,00;10,00;27,00;2.8;18.5
03/10/2011;2011,00;10,00;3,00;9,00;25,00;1.4;17,00
04/10/2011;2011,00;10,00;4,00;11,00;26,00;3.6;18.5
05/10/2011;2011,00;10,00;5,00;11,00;26,00;5.3;18.5
06/10/2011;2011,00;10,00;6,00;11,00;26,00;5.3;18.5
07/10/2011;2011,00;10,00;7,00;6,00;15,00;3.9;10.5
08/10/2011;2011,00;10,00;8,00;5,00;14,00;8.1;9.5
09/10/2011;2011,00;10,00;9,00;3,00;15,00;6.4;9,00
10/10/2011;2011,00;10,00;10,00;8,00;16,00;3.9;12,00
11/10/2011;2011,00;10,00;11,00;12,00;22,00;6.4;17,00
12/10/2011;2011,00;10,00;12,00;5,00;19,00;7.2;12,00
13/10/2011;2011,00;10,00;13,00;3,00;16,00;5.8;9.5
14/10/2011;2011,00;10,00;14,00;1,00;13,00;2.2;7,00
15/10/2011;2011,00;10,00;15,00;-1,00;14,00;2.2;6.5
16/10/2011;2011,00;10,00;16,00;-2,00;12,00;2.2;5,00
17/10/2011;2011,00;10,00;17,00;-1,00;12,00;0.8;5.5
18/10/2011;2011,00;10,00;18,00;1,00;13,00;2.2;7,00
19/10/2011;2011,00;10,00;19,00;7,00;18,00;4.4;12.5
20/10/2011;2011,00;10,00;20,00;3,00;11,00;3.9;7,00
21/10/2011;2011,00;10,00;21,00;1,00;13,00;1.7;7,00
22/10/2011;2011,00;10,00;22,00;6,00;13,00;2.2;9.5
23/10/2011;2011,00;10,00;23,00;8,00;12,00;2.2;10,00
24/10/2011;2011,00;10,00;24,00;6,00;12,00;3.1;9,00
25/10/2011;2011,00;10,00;25,00;6,00;15,00;5.3;10.5
26/10/2011;2011,00;10,00;26,00;3,00;16,00;5,00;9  1/2 
27/10/2011;2011,00;10,00;27,00;2,00;15,00;3.9;8.5
28/10/2011;2011,00;10,00;28,00;2,00;14,00;2.8;8,00
29/10/2011;2011,00;10,00;29,00;1,00;16,00;1.4;8.5
30/10/2011;2011,00;10,00;30,00;2,00;14,00;1.4;8,00
31/10/2011;2011,00;10,00;31,00;3,00;15,00;0.6;9,00
01/11/2011;2011,00;11,00;1,00;2,00;14,00;0.8;8,00
02/11/2011;2011,00;11,00;2,00;3,00;15,00;1.7;9,00
03/11/2011;2011,00;11,00;3,00;3,00;14,00;3.1;8.5
04/11/2011;2011,00;11,00;4,00;3,00;14,00;3.9;8.5
05/11/2011;2011,00;11,00;5,00;4,00;14,00;3.6;9,00
06/11/2011;2011,00;11,00;6,00;4,00;16,00;3.9;10,00
07/11/2011;2011,00;11,00;7,00;4,00;15,00;3.9;9.5
